speaker,timestamp,utterance,annotation,vote,start,end,startRole,endRole,player_index,dominance,valence,arousal
Justin,02:45,And I believe James's story because...,['Defense'],2.0,165.0,168.0,Werewolf,Werewolf,0.0,0.55373,0.54015106,0.52355695
Paul,02:50,I shouldn't have given the villager.,['No Strategy'],4.0,170.0,172.0,Villager,Robber,2.0,0.59306026,0.44940853,0.5945855
Justin,02:52,I know as a seer. I saw you as the robber.,"['Identity Declaration', 'Evidence']",2.0,172.0,174.0,Werewolf,Werewolf,0.0,0.66477334,0.45984757,0.70010686
James,02:54,"Oh. Gotcha, gotcha.",['No Strategy'],4.0,174.0,176.0,Robber,Villager,3.0,0.6688522,0.7550925,0.72098285
Mitchell,02:56,Hmm. We've got a pickle.,['No Strategy'],0.0,176.0,178.0,Insomniac,Insomniac,4.0,0.564345,0.40178055,0.53880346
Justin,02:58,"No, uh, someone else won. I think it was David or whatever. I'm not sure if his name was on top of",['No Strategy'],2.0,178.0,183.0,Werewolf,Werewolf,0.0,0.53084433,0.48034906,0.53033483
Paul,03:03,I have some suspicions about Mitchell because he gave away that he was the insomniac so fast. I think he might have seen the insomniac.,['Accusation'],4.0,183.0,189.0,Villager,Robber,2.0,0.5754089,0.53371596,0.5554352
Justin,03:09,"I feel like maybe, or he is saying that because he was the insomniac and he woke up the insomniac. So he is essentially a villager. Because an insomniac who doesn't change, just basically nothing. They know nothing. They just know about themselves.",['Accusation'],2.0,189.0,204.0,Werewolf,Werewolf,0.0,0.6709715,0.5054152,0.7090471
Paul,03:24,"Right. But I'm saying if he was a Werewolf and saw the insomniac in the middle, that would be really good.",['Accusation'],4.0,204.0,207.0,Villager,Robber,2.0,0.60912246,0.8098315,0.5823435
Paul,03:28,That exactly what would be good story.,['No Strategy'],4.0,208.0,210.0,Villager,Robber,2.0,0.58089066,0.66504693,0.5794853
James,03:30,So this is what we're saying right now. No troublemaker shifted us up. Right? That's what we're saying right now.,['Interrogation'],4.0,210.0,216.0,Robber,Villager,3.0,0.6692492,0.59012336,0.6949342
Paul,03:36,"I feel like if somebody was a troublemaker, they would've copped to it.",['No Strategy'],4.0,216.0,219.0,Villager,Robber,2.0,0.48497644,0.34439957,0.42939377
Paul,03:40,Or if anything else they would've. Yeah.,['No Strategy'],4.0,220.0,223.0,Villager,Robber,2.0,0.43578404,0.5580436,0.4302647
James,03:43,I'm going to hedge my bets on Mitch lying.,['Accusation'],4.0,223.0,226.0,Robber,Villager,3.0,0.54784507,0.6077495,0.5383798
Justin,03:47,I don't think Mitch is lying.,['Defense'],2.0,227.0,230.0,Werewolf,Werewolf,0.0,0.48079798,0.29597622,0.52240944
Paul,03:50,"I have... This makes me think. No, because if we were both...",['No Strategy'],4.0,230.0,234.0,Villager,Robber,2.0,0.41284853,0.36552358,0.40739992
Mitchell,03:54,What if me and Justin are both Werewolves?,['Interrogation'],0.0,234.0,236.0,Insomniac,Insomniac,4.0,0.5919452,0.65514874,0.5931583
Justin,03:56,"There's possibility, but it's not.",['No Strategy'],2.0,236.0,238.0,Werewolf,Werewolf,0.0,0.7031119,0.51484025,0.75625014
Paul,03:58,"There's no way that they're both Werewolves because for them to both lie about what they were, not knowing that none of us were that, would've been too risky. Because Mitch copped to being the insomniac before...","['Accusation', 'Defense']",4.0,238.0,252.0,Villager,Robber,2.0,0.5920594,0.28269142,0.52800167
James,04:12,Does this seer or see before the robber robs?,['No Strategy'],4.0,252.0,255.0,Robber,Villager,3.0,0.51781744,0.5174195,0.5066676
James,04:16,So they can catch you in a lie.,['No Strategy'],4.0,256.0,259.0,Robber,Villager,3.0,0.5038793,0.46465412,0.4894203
Justin,04:19,"It goes Werewolf, Seer, Robber, Troublemaker, Insomniac. There's the numbers on them.",['No Strategy'],2.0,259.0,266.0,Werewolf,Werewolf,0.0,0.6215716,0.60424644,0.6285684
James,04:26,Fair enough. Okay.,['No Strategy'],4.0,266.0,269.0,Robber,Villager,3.0,0.42058894,0.52787966,0.37173924
Justin,04:29,"I also don't think Laura's the werewolf because I don't think in her first game she would go for a villager lie as a Werewolf. Yeah. That's a bit of meta working, but...",['Defense'],2.0,269.0,277.0,Werewolf,Werewolf,0.0,0.6089826,0.57359236,0.6047646
Laura,04:37,I'd be so pissed if I was the Werewolf. Because I was Hitler last time so much.,['No Strategy'],2.0,277.0,283.0,Villager,Villager,1.0,0.47897792,0.28962642,0.43988347
Mitchell,04:44,"What, what is happening? There are ways to get points.",['No Strategy'],0.0,284.0,289.0,Insomniac,Insomniac,4.0,0.5176758,0.41686207,0.52313554
Justin,04:49,Did you pronounce his name as Embesica?,['No Strategy'],2.0,289.0,293.0,Werewolf,Werewolf,0.0,0.5249212,0.5735259,0.51260203
Paul,04:53,"What did, what did my car call you or something today? Bosek some robots.",['No Strategy'],4.0,293.0,302.0,Villager,Robber,2.0,0.69164646,0.55684054,0.7367908
Paul,05:03,"Hey, peanut butter babe. Peanut butter.",['No Strategy'],4.0,303.0,308.0,Villager,Robber,2.0,0.7175471,0.80338115,0.76181555
Mitchell,05:08,So we have a minute left.,['No Strategy'],0.0,308.0,310.0,Insomniac,Insomniac,4.0,0.59962827,0.48739812,0.65783477
James,05:10,My vote is for Mitch.,['Call for Action'],4.0,310.0,313.0,Robber,Villager,3.0,0.3915978,0.40659916,0.32182357
Mitchell,05:14,"Because I'm the insomniac. I'm not going to convince you. That's going to be my attempt here. If I was a Werewolf, I'd get defensive. So I'm not going to get defensive.","['Identity Declaration', 'Defense']",0.0,314.0,322.0,Insomniac,Insomniac,4.0,0.70398325,0.35991275,0.72334516
James,05:22,"Is it Asian? Is Asian like Eddie Vedder. Is that, is that.",['No Strategy'],4.0,322.0,326.0,Robber,Villager,3.0,0.5984664,0.5621995,0.64747405
Paul,05:27,"Mitch, are you a Werewolf?",['Interrogation'],4.0,327.0,329.0,Villager,Robber,2.0,0.52900904,0.6091535,0.48500007
Mitchell,05:29,No.,['Defense'],0.0,329.0,331.0,Insomniac,Insomniac,4.0,0.43797785,0.2528642,0.40540627
Paul,05:33,"You were like here, let me move all of the parts of my face really subtly to confuse you about if I'm lying or not.",['No Strategy'],4.0,333.0,339.0,Villager,Robber,2.0,0.6589543,0.7742405,0.66388255
Justin,05:39,So I don't think Mitch's a Werewolf.,['Defense'],2.0,339.0,341.0,Werewolf,Werewolf,0.0,0.56972593,0.37838295,0.646711
James,05:41,I do.,['Accusation'],4.0,341.0,343.0,Robber,Villager,3.0,0.47148052,0.47962528,0.40399215
Justin,05:43,"Well then why don't we vote left, because then James gets to vote for Mitchell.",['Call for Action'],2.0,343.0,348.0,Werewolf,Werewolf,0.0,0.71201193,0.6260189,0.730755
James,05:48,"Well, we can do that, but Paul knows he's a Werewolf too.",['Accusation'],4.0,348.0,351.0,Robber,Villager,3.0,0.3730981,0.5125199,0.30609664
Paul,05:51,I am suspicious.,['No Strategy'],4.0,351.0,354.0,Villager,Robber,2.0,0.525546,0.44831425,0.43866208
James,05:56,"Oh, that is sweet. And I know Paul.",['No Strategy'],4.0,356.0,358.0,Robber,Villager,3.0,0.45298272,0.5752001,0.45905408
Justin,05:58,"No, I think he'd be getting defensive at this point.",['No Strategy'],2.0,358.0,361.0,Werewolf,Werewolf,0.0,0.66643256,0.5458099,0.69878584
Justin,06:01,I think he would be.,['No Strategy'],2.0,361.0,363.0,Werewolf,Werewolf,0.0,0.625507,0.27118292,0.597435
James,06:03,I don't think he would be.,['No Strategy'],4.0,363.0,366.0,Robber,Villager,3.0,0.5814734,0.6011399,0.59687096
Paul,06:08,"I think he plays too safe, like I saw the insomniac, that's a fucking sweet story. I'm voting for Mitchell.","['Accusation', 'Call for Action']",4.0,368.0,374.0,Villager,Robber,2.0,0.7389888,0.5675856,0.8247726
Justin,06:14,"I don't know what to say. I was the Insomniac, I woke up the insomniac. Getting a lot of heat.",['Identity Declaration'],2.0,374.0,378.0,Werewolf,Werewolf,0.0,0.615217,0.5416209,0.64070654
James,06:18,I can't wait to murder an innocent person.,['Call for Action'],4.0,378.0,381.0,Robber,Villager,3.0,0.65838766,0.53410894,0.63834846
Paul,06:21,We have to go to vote at the same time.,['Call for Action'],4.0,381.0,384.0,Villager,Robber,2.0,0.7496611,0.6582904,0.8322369
Mitchell,00:04,Yeah.,['No Strategy'],3.0,4.0,8.0,Seer,Villager,4.0,0.7268217,0.85549986,0.765348
Paul,00:08,"No, because now when somebody starts clapping, you know they're doing something.",['No Strategy'],3.0,8.0,12.0,Villager,Seer,2.0,0.68886375,0.70175254,0.7131468
Justin,00:12,"Paul says it, currently checking out a card in the center.",['No Strategy'],3.0,12.0,15.0,Troublemaker,Troublemaker,0.0,0.5883006,0.64721274,0.6600812
James,00:15,Yeah.,['No Strategy'],4.0,15.0,17.0,Villager,Villager,3.0,0.6871911,0.69965976,0.73142457
Paul,00:17,Trying to like clap on my face.,['No Strategy'],3.0,17.0,21.0,Villager,Seer,2.0,0.5967872,0.6186527,0.6204042
Mitchell,00:21,It doesn't work with a mirror.,['No Strategy'],3.0,21.0,27.0,Seer,Villager,4.0,0.4698502,0.4817928,0.4446287
Paul,00:30,"Oh, interesting.",['No Strategy'],3.0,30.0,38.0,Villager,Seer,2.0,0.5281345,0.6115298,0.49975297
Justin,00:39,Sounds good.,['No Strategy'],3.0,39.0,41.0,Troublemaker,Troublemaker,0.0,0.54600716,0.6279044,0.5904056
Justin,00:42,"No, that's good.",['No Strategy'],3.0,42.0,44.0,Troublemaker,Troublemaker,0.0,0.60348165,0.7218097,0.61392474
Paul,00:44,"I looked at Justin's, I didn't want it.",['No Strategy'],3.0,44.0,54.0,Villager,Seer,2.0,0.3957665,0.44125843,0.37291563
Paul,00:54,"Okay, so I'm actually just going to switch Mitchell and Justin because I robbed Justin originally.",['No Strategy'],3.0,54.0,58.0,Villager,Seer,2.0,0.41658664,0.46477085,0.40718678
Justin,00:58,Sounds good.,['No Strategy'],3.0,58.0,64.0,Troublemaker,Troublemaker,0.0,0.5861155,0.7158529,0.58176935
Paul,01:04,I'm just going to look at my card to make sure it's still on the night.,['No Strategy'],3.0,64.0,66.0,Villager,Seer,2.0,0.563178,0.63923883,0.5820104
James,01:06,That's an oxymoron. The Insomniac waking up.,['No Strategy'],4.0,66.0,70.0,Villager,Villager,3.0,0.51983213,0.43249553,0.45692816
James,01:10,Cause they don't sleep.,['No Strategy'],4.0,70.0,75.0,Villager,Villager,3.0,0.49589095,0.66869485,0.47946244
Justin,01:17,Peanut butter babe.,['No Strategy'],3.0,77.0,81.0,Troublemaker,Troublemaker,0.0,0.3808458,0.53082937,0.3736885
Justin,01:21,Laura. peanut butter babe says your hair is amazing.,['No Strategy'],3.0,81.0,85.0,Troublemaker,Troublemaker,0.0,0.63091695,0.7988233,0.6440931
Laura,01:27,What?,['No Strategy'],3.0,87.0,91.0,Werewolf,Werewolf,1.0,0.85701966,0.8624737,0.9163801
Mitchell,01:31,Paul just tried to take that compliment.,['No Strategy'],3.0,91.0,93.0,Seer,Villager,4.0,0.6795121,0.62090254,0.7300502
Paul,01:33,I didn't try to I was just a little conceited and assumed it was for me.,['No Strategy'],3.0,93.0,98.0,Villager,Seer,2.0,0.7715092,0.8715238,0.825566
Justin,01:38,I was the troublemaker and I did switch people.,"['Identity Declaration', 'Evidence']",3.0,98.0,100.0,Troublemaker,Troublemaker,0.0,0.74556184,0.350006,0.78747725
Justin,01:42,I'm going to hold on that information until we start finding out things.,['Defense'],3.0,102.0,105.0,Troublemaker,Troublemaker,0.0,0.7179205,0.5103611,0.7471565
Mitchell,01:45,Fascinating. I was a seer and I know there's a werewolf out there.,"['Identity Declaration', 'Evidence']",3.0,105.0,107.0,Seer,Villager,4.0,0.5930355,0.40633374,0.6057594
Justin,01:47,"Oh, snap high five.",['No Strategy'],3.0,107.0,109.0,Troublemaker,Troublemaker,0.0,0.8249114,0.4161581,0.9102544
Mitchell,01:49,Fascinating. But now we should be worried about who he switched.,['Call for Action'],3.0,109.0,114.0,Seer,Villager,4.0,0.63092923,0.6682263,0.62225455
Justin,01:54,I'm not going to tell until I hear everybody's.,['Defense'],3.0,114.0,116.0,Troublemaker,Troublemaker,0.0,0.7305425,0.27429086,0.8022847
Paul,01:57,It wasn't me. I was one of these three.,"['Defense', 'Evidence']",3.0,117.0,120.0,Villager,Seer,2.0,0.3131293,0.39185458,0.27407467
Justin,02:00,"So you're pointing to villager, robber or insomniac.",['Evidence'],3.0,120.0,124.0,Troublemaker,Troublemaker,0.0,0.51471055,0.6187195,0.5249638
Paul,02:04,"Villager, robber, insomniac are my possibilities.",['No Strategy'],3.0,124.0,129.0,Villager,Seer,2.0,0.41682747,0.55760956,0.32417834
Laura,02:09,"Well, I started out with villager.",['Identity Declaration'],3.0,129.0,132.0,Werewolf,Werewolf,1.0,0.38108146,0.40981498,0.37123755
Justin,02:14,"All right, James. So that leaves you with two werewolves as your option.","['Accusation', 'Evidence']",3.0,134.0,136.0,Troublemaker,Troublemaker,0.0,0.5975773,0.63376224,0.60110736
Mitchell,02:17,Were you this one or were you this one?,['Interrogation'],3.0,137.0,142.0,Seer,Villager,4.0,0.618333,0.6832735,0.6475809
James,02:22,I was this.,['Evidence'],4.0,142.0,144.0,Villager,Villager,3.0,0.39931583,0.38973048,0.50641745
Justin,02:24,And you saw that?,['Interrogation'],3.0,144.0,148.0,Troublemaker,Troublemaker,0.0,0.6563307,0.7515763,0.68035847
Justin,02:29,I switched you with somebody.,['Evidence'],3.0,149.0,151.0,Troublemaker,Troublemaker,0.0,0.6874222,0.43843377,0.7056541
Mitchell,02:31,Whoa. So you would know the answer.,['No Strategy'],3.0,151.0,156.0,Seer,Villager,4.0,0.6028038,0.35696965,0.65858275
Mitchell,02:37,I saw two in the middle and they were not werewolves.,['Evidence'],3.0,157.0,160.0,Seer,Villager,4.0,0.60683537,0.42174077,0.55851626
James,02:41,"Well, did you see that one?",['Interrogation'],4.0,161.0,164.0,Villager,Villager,3.0,0.48761848,0.60364866,0.486554
Justin,02:44,"You did not see troublemaker, right?",['Interrogation'],3.0,164.0,166.0,Troublemaker,Troublemaker,0.0,0.67925906,0.3320536,0.68380415
Paul,02:46,"No, I did not.",['Defense'],3.0,166.0,169.0,Villager,Seer,2.0,0.48068148,0.33624098,0.49600407
Justin,02:49,"All right Paul, can we get some... Can you remove... Okay.",['No Strategy'],3.0,169.0,173.0,Troublemaker,Troublemaker,0.0,0.48130256,0.6122443,0.55152464
Mitchell,02:53,I know which one of those three Paul is because I had two of those three I saw in the middle. Nice.,"['Defense', 'Evidence']",3.0,173.0,177.0,Seer,Villager,4.0,0.5909927,0.64525306,0.58624077
Justin,02:57,Nice. Well why don't you just out him?,['Interrogation'],3.0,177.0,179.0,Troublemaker,Troublemaker,0.0,0.68185544,0.61505437,0.65287507
James,03:00,You can't just do that to a guy like Paul.,['No Strategy'],4.0,180.0,183.0,Villager,Villager,3.0,0.5686113,0.59275097,0.5354267
Paul,03:03,"Well, so Mitch you can confirm I was a good guy. You've already confirmed.","['Accusation', 'Evidence']",3.0,183.0,188.0,Villager,Seer,2.0,0.67755955,0.62957853,0.65710133
Justin,03:09,Because the villagers boring. So I'm just going to move it,['Defense'],3.0,189.0,191.0,Troublemaker,Troublemaker,0.0,0.6878617,0.57176626,0.7507946
Paul,03:11,"You've already confirmed that I'm a good guy because you can, you know which one I am.","['Accusation', 'Defense', 'Evidence']",3.0,191.0,196.0,Villager,Seer,2.0,0.63840985,0.84326655,0.63420206
Mitchell,03:16,"Well, I know which two you aren't, but...","['Accusation', 'Evidence']",3.0,196.0,199.0,Seer,Villager,4.0,0.5640206,0.54302025,0.5272999
Paul,03:19,"Yeah. So of these three, you basically, accidentally confirmed that I am one of the three.","['Accusation', 'Evidence']",3.0,199.0,207.0,Villager,Seer,2.0,0.55853134,0.44932362,0.5608752
Paul,03:27,So I was a good guy. So did you switch me with a James?,"['Interrogation', 'Defense']",3.0,207.0,210.0,Villager,Seer,2.0,0.59419966,0.7320615,0.6140203
James,03:30,"Laura? Did you pick villager just so you didn't have to play the game. You could just be quiet. I think Laura's the werewolf, now.","['Accusation', 'Interrogation']",4.0,210.0,216.0,Villager,Villager,3.0,0.5528263,0.81249475,0.53801036
Laura,03:37,"Yeah, I thought you were the werewolf.",['Accusation'],3.0,217.0,223.0,Werewolf,Werewolf,1.0,0.5320103,0.5521724,0.5549786
Justin,03:44,"I want to know if what you are, because that's... I don't want to give bad news to you until I consider",['Defense'],3.0,224.0,231.0,Troublemaker,Troublemaker,0.0,0.4922942,0.33548176,0.4833315
Paul,03:51,"Here's the thing, Laura, if I'm lying, if I'm not the Insomniac and she was the insomniac and you switched her, you're saying you trouble made, She could have woken up as James's werewolf. And this villager could be one of the three of mine or actually one of the ones in here.",['Accusation'],3.0,231.0,249.0,Villager,Seer,2.0,0.5298679,0.545745,0.4969256
James,04:09,So who? Mitch saw two in the middle.,"['Interrogation', 'Evidence']",4.0,249.0,252.0,Villager,Villager,3.0,0.5965843,0.49548495,0.5912199
James,04:12,Then how did you all...,['No Strategy'],4.0,252.0,254.0,Villager,Villager,3.0,0.725708,0.34222028,0.8046236
Paul,04:14,Was one them a villager. Will you tell us that?,['Interrogation'],3.0,254.0,258.0,Villager,Seer,2.0,0.58803594,0.6600428,0.57940894
Mitchell,04:19,"No, one of them was not a villager.",['No Strategy'],3.0,259.0,261.0,Seer,Villager,4.0,0.5653284,0.32972732,0.56956655
Mitchell,04:22,"So I saw... Oh, so that gives a lot of info, what I saw.",['Defense'],3.0,262.0,266.0,Seer,Villager,4.0,0.50103164,0.62310636,0.46568877
Mitchell,04:27,"If you guys can narrow it down, what I saw was the robber and insomniac.",['Evidence'],3.0,267.0,270.0,Seer,Villager,4.0,0.61727643,0.66476446,0.66143835
James,04:30,Yeah. Yeah. It was these two you saw. So that's what we're saying right now.,['Evidence'],4.0,270.0,274.0,Villager,Villager,3.0,0.58287996,0.58142185,0.57167923
Paul,04:34,This might be a stupid question for me to ask,['No Strategy'],3.0,274.0,277.0,Villager,Seer,2.0,0.65783936,0.79963875,0.6653945
Justin,04:37,You guys are both villagers.,['Accusation'],3.0,277.0,279.0,Troublemaker,Troublemaker,0.0,0.740562,0.8604223,0.77769566
James,04:39,I think Laura's the werewolf now.,['Accusation'],4.0,279.0,281.0,Villager,Villager,3.0,0.4533755,0.49504635,0.41811264
Justin,04:41,"Okay, well I switched James...",['Evidence'],3.0,281.0,283.0,Troublemaker,Troublemaker,0.0,0.43879417,0.41965526,0.43655664
Justin,04:44,And Paul. Fuck! So you were the werewolf.,"['Accusation', 'Evidence']",3.0,284.0,287.0,Troublemaker,Troublemaker,0.0,0.5279206,0.54910433,0.48706365
Paul,04:47,"Unless, Justin is actually the werewolf.",['Accusation'],3.0,287.0,289.0,Villager,Seer,2.0,0.37973917,0.3198356,0.2795985
Justin,04:52,No. You and Paul.,"['Defense', 'Evidence']",3.0,292.0,295.0,Troublemaker,Troublemaker,0.0,0.5898314,0.31467065,0.62871206
Paul,04:56,You were just confirming.,['Accusation'],3.0,296.0,298.0,Villager,Seer,2.0,0.69066375,0.57255775,0.71204895
Paul,04:58,And you were playing. You were doing my strategy.,['Accusation'],3.0,298.0,300.0,Villager,Seer,2.0,0.50655437,0.57955956,0.4737441
James,05:00,Well here's a fun story. I know Paul's a dirty fucking liar because I was a villager.,['Accusation'],4.0,300.0,305.0,Villager,Villager,3.0,0.5768918,0.50792783,0.52626
Paul,05:05,Oh right. I forgot.,['No Strategy'],3.0,305.0,309.0,Villager,Seer,2.0,0.81744015,0.7933562,0.8737683
Paul,05:10,Kill Mitch. Should we vote for Mitch?,"['Interrogation', 'Call for Action']",3.0,310.0,312.0,Villager,Seer,2.0,0.8032401,0.22772534,0.88469124
Paul,05:12,"Do we all agree? Okay, we have a minute left. Which is worse having in our villager?",['Interrogation'],3.0,312.0,319.0,Villager,Seer,2.0,0.72249526,0.7511159,0.7406065
Paul,05:20,A werewolf or Mitchell? Like Honestly?,['Interrogation'],3.0,320.0,322.0,Villager,Seer,2.0,0.73169196,0.824518,0.7979908
Justin,05:22,I'm good to kill James if you guys are.,['Call for Action'],3.0,322.0,324.0,Troublemaker,Troublemaker,0.0,0.6652232,0.70922625,0.6681552
James,05:24,"Dude, I'm a villager.","['Identity Declaration', 'Defense']",4.0,324.0,326.0,Villager,Villager,3.0,0.7608881,0.7466729,0.81503546
Paul,05:26,"No, no one believes that.",['Accusation'],3.0,326.0,328.0,Villager,Seer,2.0,0.6162096,0.4261727,0.60348547
Paul,05:29,You started the game with I was a werewolf.,['Accusation'],3.0,329.0,331.0,Villager,Seer,2.0,0.6978152,0.22135733,0.6942095
James,05:31,Because I want to see what other people would fucking say.,['Defense'],4.0,331.0,334.0,Villager,Villager,3.0,0.82757777,0.3498227,0.88260293
Justin,05:34,"Here's the thing, if Paul is a werewolf, he's about to lose if we vote for you and he's going to vote for you.",['Accusation'],3.0,334.0,338.0,Troublemaker,Troublemaker,0.0,0.7204215,0.4963475,0.7435501
Justin,05:39,Because Mitch is currently the werewolf. If that's the case.,['Accusation'],3.0,339.0,343.0,Troublemaker,Troublemaker,0.0,0.65491396,0.2747713,0.67485416
Paul,05:43,"Oh yeah. I was like, what? No, I would be if I was the werewolf. But yeah, because Mitch would be you know.","['Accusation', 'Interrogation']",3.0,343.0,350.0,Villager,Seer,2.0,0.72462785,0.78268665,0.750303
James,05:50,Why Mitch? Oh because you switched Paul. Gotcha! I'll gank Mitch again.,"['Interrogation', 'Evidence']",4.0,350.0,356.0,Villager,Villager,3.0,0.64730453,0.492971,0.6935592
James,05:59,Suspicious.,['No Strategy'],4.0,359.0,361.0,Villager,Villager,3.0,0.51671153,0.41916284,0.5002003
Laura,06:01,I am not following this at all.,['No Strategy'],3.0,361.0,363.0,Werewolf,Werewolf,1.0,0.702424,0.73075,0.78580165
Paul,06:03,"So he told us he was the werewolf right at the beginning and then when Justin said no, he didn't actually switch James and somebody, it was actually me and Mitch.",['Accusation'],3.0,363.0,375.0,Villager,Seer,2.0,0.59588104,0.5692952,0.62306404
Paul,06:15,So he didn't actually move. So he's still the werewolf.,['Accusation'],3.0,375.0,377.0,Villager,Seer,2.0,0.55557126,0.48516744,0.5556626
James,06:17,"No, no, no. I was never a werewolf. I was a villager and Paul's a liar.","['Identity Declaration', 'Accusation', 'Defense']",4.0,377.0,380.0,Villager,Villager,3.0,0.65452474,0.5498501,0.6508833
Justin,06:20,I think we kill James. And if Paul is the...,['Call for Action'],3.0,380.0,382.0,Troublemaker,Troublemaker,0.0,0.6349348,0.4997871,0.62771064
Paul,06:22,"If I was lying, I would say that Mitch was because he got switched with me.","['Defense', 'Evidence']",3.0,382.0,385.0,Villager,Seer,2.0,0.57499075,0.4447965,0.61368567
James,00:02,Is this the maestro?,['No Strategy'],0.0,2.0,4.0,Villager,Seer,3.0,0.5694591,0.5624995,0.5875125
James,00:04,It was spaghetti. There we go.,['No Strategy'],0.0,4.0,11.0,Villager,Seer,3.0,0.5713421,0.5331502,0.4937819
James,00:11,"I cannot wait until Paul opens his eyes and sees me, the werewolf.",['No Strategy'],0.0,11.0,17.0,Villager,Seer,3.0,0.59247977,0.64057803,0.6039083
Justin,00:17,That will bring the werewolves together and you'll be the best pair of werewolves in the world.,['No Strategy'],1.0,17.0,25.0,Troublemaker,Troublemaker,0.0,0.49906138,0.7232895,0.47495514
Justin,00:25,"Oh, a hundred percent. You guys going at each other would make me like ""There's no way they're working together.""",['No Strategy'],1.0,25.0,29.0,Troublemaker,Troublemaker,0.0,0.72054654,0.43417954,0.7635987
Paul,00:29,"Until the first moment when James sees I did something that I didn't understand right at him. Like, ""What the fuck are you doing?""",['No Strategy'],3.0,29.0,37.0,Werewolf,Robber,2.0,0.5841967,0.6575756,0.5958474
Justin,00:37,"We're at robber. Now, just so everybody knows.",['No Strategy'],1.0,37.0,57.0,Troublemaker,Troublemaker,0.0,0.3848331,0.47057396,0.3264396
Paul,00:57,"Whoever's the seer should just always look at eyes. You just zoom and ""no"".",['No Strategy'],3.0,57.0,81.0,Werewolf,Robber,2.0,0.5022138,0.54915327,0.50054157
